index,concept,question,text,score
0,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"The exhibit, titled ""The Golden Age of the Pharaohs,"" features a stunning collection of artifacts from ancient Egypt, including the magnificent golden funerary mask of Tutankhamun, intricately carved stone statues of gods and goddesses, and beautifully preserved mummies that showcase the advanced knowledge of Egyptian embalmers",
1,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"In the grand Egyptian Museum of Cairo, a captivating exhibit showcases the golden funerary mask of Tutankhamun, a breathtaking artifact adorned with intricate hieroglyphics and precious gemstones, offering a glimpse into the opulence and mystique of ancient Egyptian",
2,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"In the grand Egyptian Museum, a captivating exhibit showcases an exquisite collection of artifacts from the tomb of Tutankhamun, including his iconic golden death mask, offering a mesmerizing glimpse into the life and legacy of the boy king.",
3,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Using a food delivery service is a convenient and popular way to have your favorite meals delivered right to your doorstep. Here's what it's typically like:

**Step 1: Choosing a Food Delivery Service**
You start by selecting a food delivery service, such as Uber Eats, Grubhub, DoorDash, or",
4,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Using a food delivery service can be a frustrating or disappointing experience for several reasons:

1. Long Wait Times: Food delivery services often have long wait times, with estimated delivery times that are not always accurate. This can lead to a poor customer experience and wasted time.

2. Poor Quality Food",
5,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Using a food delivery service is like having a personal chef and waiter at your fingertips, but without the hefty price tag (and the dishes!). 

Here's a breakdown:

**The Process:**

1. **Browse:** You open the app or website and browse through a curated selection of restaurants in your area",
6,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Using a food delivery service can be a convenient and time-saving way to get a meal without having to cook or leave your home. Here's a breakdown of the experience:

**1. Choosing a Service:**

* **Popular options:** Uber Eats, DoorDash, Grubhub, Postmates, Seamless,",
7,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Using a food delivery service is a convenient way to have meals delivered right to your doorstep. Here's a general step-by-step process:

1. **Choose a Service:** There are numerous food delivery services available, such as Uber Eats, DoorDash, Grubhub,",
8,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Sunlight streams through the glass, illuminating a sarcophagus adorned with intricate hieroglyphs, its occupant's painted face serene despite the passage of millennia.  Nearby, a display of papyrus scrolls and pottery shards whispers tales of daily life, revealing the vibrant culture that thrived along the Nile.",
9,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"In the grand Egyptian Museum of Cairo, a captivating exhibit showcases the golden funerary mask of Tutankhamun, a young pharaoh, alongside a detailed replica of his tomb, offering a mesmerizing glimpse into the opulence and mystery of ancient Egyptian burial practices.",
10,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"The dimly lit hall buzzed with hushed whispers as visitors gawked at a sarcophagus, its painted lid depicting a grotesque, fanged god.  A nearby display showcased a collection of chipped pottery shards, each painstakingly pieced together to reveal a glimpse into the daily lives of ancient Egyptians.",
11,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Sunlight streams through the high windows, illuminating a sarcophagus adorned with intricate hieroglyphs, its lid slightly ajar revealing a glimpse of the mummified remains within.  Nearby, a collection of papyrus scrolls, painstakingly deciphered by scholars, offer a window into the daily lives, beliefs, and rituals of ancient",
12,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Sunlight streams through the high windows, illuminating a sarcophagus adorned with intricate hieroglyphs, its lid slightly ajar as if revealing secrets of the afterlife.  Nearby, a collection of papyrus scrolls, brittle with age, hint at the lives, loves, and legends of pharaohs and commoners alike.",
13,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"In this ancient Egypt museum exhibit, visitors can explore a life-sized replica of a pharaoh's tomb chamber, adorned with vibrant hieroglyphics and surrounded by an array of golden artifacts including a sarcophagus, statues, and jewelry that provide a glimpse into the culture and beliefs of ancient Egyptians.",
14,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"The ancient Egypt museum exhibit, titled ""Pharaohs and Pyramids: The Golden Age of Egypt,"" showcases a vast collection of artifacts, including mummies, sarcophagi, and hieroglyphic-inscribed art, providing a glimpse into the opulent lifestyle, religious beliefs,",
15,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Using a food delivery service is like having a personal chef and waiter at your fingertips, but without the hefty price tag (and the dishes!). 

Here's a breakdown:

**The Process:**

1. **Choose your platform:** Popular options include Uber Eats, DoorDash, Grubhub, and Seamless,",
16,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"The ancient Egypt museum exhibit, titled ""Pharaohs and Pyramids: The Golden Age of Egypt,"" showcases a collection of artifacts from the Old Kingdom to the New Kingdom, including the famous Tutankhamun's mask, mummies, and various artworks, providing a glimpse into the",
17,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"The exhibit, titled ""The Golden Age of the Pharaohs,"" features a stunning collection of artifacts from ancient Egypt, including the magnificent golden funerary mask of Tutankhamun, intricately carved stone statues of gods and goddesses, and beautifully preserved mummies that showcase the advanced knowledge and skills of the ancient",
18,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"The exhibit showcases a stunning sarcophagus adorned with hieroglyphics that tell the story of the deceased, while adjacent cases display intricate jewelry and everyday objects from the time period, giving visitors a glimpse into the lives of ancient Egyptians.",
19,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"The exhibit, titled ""The Golden Age of the Pharaohs,"" features a stunning collection of artifacts from ancient Egypt, including the golden funerary mask of Tutankhamun, intricately carved sarcophagi, and beautifully preserved mummies, which provide a glimpse into the lives and rituals of the ancient Egyptians.",
20,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"Using a food delivery service can be a convenient and enjoyable experience, offering a wide variety of cuisines right at your doorstep. Here’s a typical scenario of how it might go:

1. **Selection**: You open the app or website of your preferred food delivery service. The platform usually offers a vast menu from various restaurants",
21,sentiment,Is the sentiment of this text positive? Answer with a score from 0 (strongly negative) to 1 (strongly positive).,"The ancient Egypt museum exhibit features a stunning collection of artifacts, including the golden funerary mask of Tutankhamun, intricately carved sarcophagi, and vibrant wall paintings that depict the daily life and mythology of the ancient Egyptians. Among the exhibit's highlights is the majestic granite statue of Pharaoh Ramses II",
